age,no_of_children,net_yearly_income,no_of_days_employed,total_family_members,migrant_worker,yearly_debt_payments,credit_limit,credit_limit_used(%),credit_score,prev_defaults,default_in_last_6months,gender_F,gender_M,gender_XNA,owns_car_N,owns_car_Y,owns_house_N,owns_house_Y,occupation_type_Accountants,occupation_type_Cleaning staff,occupation_type_Cooking staff,occupation_type_Core staff,occupation_type_Drivers,occupation_type_HR staff,occupation_type_High skill tech staff,occupation_type_IT staff,occupation_type_Laborers,occupation_type_Low-skill Laborers,occupation_type_Managers,occupation_type_Medicine staff,occupation_type_Private service staff,occupation_type_Realty agents,occupation_type_Sales staff,occupation_type_Secretaries,occupation_type_Security staff,occupation_type_Unknown,occupation_type_Waiters/barmen staff,credit_card_default
46,1.0,277719.38,3431.0,3.0,0.0,38522.79,56875.48,76,943.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,1.0,160100.75,278.0,3.0,1.0,26161.66,32409.34,49,936.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0.0,183519.5,365250.0,1.0,0.0,19308.08,55309.22,33,940.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0.0,261606.98,3561.0,2.0,0.0,28877.35,53636.03,51,666.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,1.0,246742.26,1197.0,2.0,0.0,42065.07,33162.68,48,701.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51,0.0,80057.19,365246.0,2.0,0.0,18332.08,16446.6,99,505.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
48,2.0,202132.12,5821.0,4.0,0.0,40889.75,34711.0,57,656.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,2.0,429215.55,365241.0,4.0,0.0,66418.13,74367.95,55,799.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,0.0,85099.21,365244.0,2.0,0.0,6798.44,17727.93,40,936.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
32,0.0,56565.92,365246.0,1.0,0.0,6657.09,18094.42,31,751.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,1.0,123199.31,2476.0,3.0,0.0,33787.88,42314.88,30,664.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1.0,105260.58,893.0,3.0,0.0,6391.32,20321.56,34,859.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,0.0,256820.1,4204.0,1.0,0.0,29480.76,43831.1,4,791.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0.0,85324.24,2505.0,2.0,0.0,21952.91,17754.24,11,771.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0.0,140512.13,365243.0,2.0,0.0,31871.57,18199.01,99,755.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,0.0,142286.66,2174.0,2.0,0.0,44368.81,36103.45,70,944.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,0.0,358507.91,2409.0,1.0,0.0,41912.02,66347.76,74,923.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39,0.0,200660.7,2602.0,2.0,0.0,39669.0,46733.87,33,695.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
42,0.0,174957.57,1321.0,2.0,1.0,26915.92,24684.69,78,763.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,0.0,222152.92,194.0,2.0,0.0,36872.5,66572.82,21,862.0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,1.0,74981.73,2084.0,3.0,0.0,35464.84,20887.35,4,683.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,0.0,241633.72,1630.0,2.0,1.0,61084.78,72609.29,49,847.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,0.0,211252.44,1040.0,2.0,0.0,40111.57,32606.64,89,873.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,0.0,311839.84,503.0,2.0,0.0,67973.53,107339.72,84,611.0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,0.0,275809.7,365250.0,2.0,0.0,41888.39,71303.24,28,813.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
45,0.0,117953.82,587.0,1.0,1.0,46734.33,14546.35,61,704.0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0,247157.84,1839.0,2.0,0.0,69225.9,47491.66,53,852.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.0,154212.75,530.0,3.0,0.0,32092.11,51670.09,53,702.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0,145922.57,365246.0,2.0,0.0,37055.9,42389.07,55,783.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,1.0,322740.45,291.0,2.0,1.0,35613.05,117865.75,93,808.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,0.0,171645.05,633.0,2.0,0.0,17025.91,25669.42,63,662.0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0,104892.11,365251.0,2.0,0.0,12454.46,18698.13,35,924.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,0.0,189800.33,626.0,1.0,1.0,38714.56,39389.03,43,893.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
47,1.0,162214.22,2291.0,2.0,0.0,43052.72,37182.06,71,887.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0.0,213889.7,615.0,2.0,1.0,59845.46,49496.02,2,949.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,0.0,203833.81,365252.0,2.0,0.0,51256.93,34787.81,2,769.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,0.0,144864.4,403.0,2.0,0.0,20809.35,36307.32,43,836.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
39,0.0,578903.4,365240.0,2.0,0.0,63651.64,119542.4,87,825.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,1.0,73113.59,4958.0,3.0,0.0,11766.05,9260.85,7,938.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,0.0,187040.04,11543.0,2.0,0.0,27422.44,37287.9,1,864.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39,0.0,300977.72,2950.0,2.0,0.0,26822.9,87001.3,28,732.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,0.0,221034.12,1724.0,1.0,0.0,31398.44,48465.65,75,758.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0.0,97910.11,365242.0,2.0,0.0,9547.1,32488.06,11,732.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,1.0,206687.53,2517.0,3.0,0.0,15813.26,27514.19,55,823.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0.0,389109.21,9008.0,2.0,0.0,52134.17,59389.54,83,924.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,0.0,179726.81,230.0,2.0,1.0,36756.63,57777.21,7,774.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,0.0,479297.86,2972.0,2.0,0.0,16751.24,160527.19,15,717.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,0.0,174875.63,1471.0,2.0,0.0,34702.34,38424.11,12,657.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.0,236826.63,365252.0,1.0,0.0,30078.39,51999.58,44,820.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
39,0.0,103452.57,4909.0,2.0,1.0,9479.53,34792.51,51,802.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,0.0,147710.65,365242.0,2.0,0.0,35026.8,32955.89,79,913.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,3.0,249242.7,4533.0,5.0,0.0,42406.21,29181.89,1,840.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
54,0.0,138302.31,4442.0,1.0,0.0,24993.01,15007.01,35,898.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,0.0,244924.42,5269.0,1.0,0.0,50677.15,30770.97,1,714.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,0.0,132684.97,365252.0,2.0,0.0,38707.64,24636.36,18,850.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0.0,219286.54,365249.0,2.0,0.0,52474.45,86119.51,52,945.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,2.0,119027.57,4722.0,4.0,0.0,33402.78,23012.01,95,616.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
54,0.0,109474.02,1173.0,2.0,1.0,46079.07,35964.65,62,790.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,1.0,141558.44,5780.0,3.0,0.0,36427.52,46776.58,8,893.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
23,0.0,90867.42,365251.0,1.0,0.0,12398.92,11333.7,67,868.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52,0.0,167841.52,4782.0,1.0,0.0,26549.21,61200.95,65,801.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.0,249684.82,477.0,1.0,0.0,17237.29,82006.3,22,718.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,2.0,306776.29,1488.0,4.0,0.0,17459.86,48993.37,76,830.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0.0,60125.84,365247.0,2.0,0.0,7446.87,7367.25,28,928.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,0.0,287568.61,2945.0,2.0,1.0,69842.17,33314.35,85,740.0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51,0.0,114949.59,365250.0,2.0,0.0,36999.24,25701.5,13,879.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1.0,174560.92,2729.0,3.0,1.0,32649.05,30925.8,90,597.0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50,1.0,169332.62,517.0,3.0,0.0,58408.21,39632.28,94,683.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,0.0,244639.62,1650.0,1.0,0.0,28256.73,55859.34,85,738.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
53,1.0,261081.07,220.0,3.0,0.0,38429.36,36136.91,78,626.0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,0.0,182117.51,780.0,1.0,0.0,9507.11,21166.64,3,799.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,0.0,223170.1,1053.0,2.0,0.0,40898.78,35924.94,10,680.0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0,71697.68,2302.0,2.0,1.0,22747.65,9740.68,90,676.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1.0,71651.59,2384.0,3.0,0.0,27053.39,10203.93,8,915.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,2.0,142914.97,428.0,4.0,1.0,18768.37,41783.54,8,696.0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.0,175825.98,6933.0,3.0,0.0,54258.29,24660.55,61,832.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,0.0,258779.17,223.0,2.0,0.0,32614.05,60751.97,93,794.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0.0,157027.27,365241.0,2.0,0.0,37661.94,49308.33,2,652.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
49,0.0,309682.54,1095.0,1.0,0.0,33660.89,81761.93,90,539.0,2,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,0.0,191055.97,10208.0,2.0,0.0,20223.83,35426.49,85,879.0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0.0,103240.47,365249.0,1.0,0.0,18889.62,15805.09,92,674.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,0.0,202946.15,3368.0,2.0,0.0,16320.02,27209.43,11,913.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
49,0.0,271516.74,3265.0,1.0,0.0,29407.9,42361.18,66,910.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
29,0.0,90302.43,986.0,1.0,1.0,19704.8,21822.24,68,859.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1.0,180818.8,63.0,3.0,1.0,25440.05,58938.88,84,817.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,0.0,163203.04,1924.0,1.0,0.0,46824.66,39577.2,46,762.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
43,0.0,192353.57,9081.0,2.0,0.0,50994.14,28539.51,49,671.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26,1.0,127443.58,1416.0,3.0,0.0,33023.68,26992.05,44,685.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,0.0,211049.72,2854.0,2.0,0.0,34068.04,27817.06,6,682.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.0,87056.2,365246.0,1.0,0.0,13526.58,15619.88,10,754.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,0.0,107322.27,1256.0,2.0,1.0,19539.15,22090.9,76,676.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
53,0.0,57444.78,365243.0,2.0,0.0,29146.67,9677.9,94,770.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,0.0,51861.79,365249.0,1.0,0.0,25203.08,5807.42,21,678.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1.0,257236.6,1693.0,3.0,0.0,57056.91,45921.6,25,813.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23,1.0,130800.08,1072.0,2.0,0.0,9942.62,32230.27,91,528.0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
32,1.0,310268.73,239.0,3.0,0.0,79226.0,102848.89,36,781.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0,79244.61,563.0,2.0,0.0,32605.36,19996.98,23,896.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,0.0,240528.13,1690.0,2.0,0.0,55825.16,37659.42,13,745.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
33,1.0,288891.43,1633.0,3.0,0.0,50541.84,34346.48,19,892.0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0,317929.29,3476.0,2.0,1.0,26165.6,101244.67,2,754.0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,0.0,431618.29,825.0,2.0,0.0,49437.18,92887.28,74,649.0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
38,3.0,97671.52,2311.0,5.0,0.0,44006.15,17815.32,63,863.0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,0.0,334180.45,1530.0,2.0,0.0,35044.63,77609.74,14,669.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,0.0,164317.06,365243.0,2.0,0.0,24016.5,47534.87,78,749.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,0.0,178156.05,15162.0,2.0,0.0,29835.38,32456.29,59,910.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,2.0,362315.14,3034.0,4.0,0.0,38608.72,53315.03,44,948.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,0.0,197541.66,365245.0,2.0,0.0,64048.43,47054.45,54,864.0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,0.0,289035.94,3419.0,1.0,1.0,25618.24,37296.09,62,873.0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,3.0,330859.09,6820.0,5.0,0.0,38534.65,45009.27,34,656.0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.0,124839.37,2365.0,2.0,1.0,22133.52,36474.75,23,731.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
48,0.0,188603.23,365240.0,2.0,0.0,32901.13,20887.33,15,830.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,0.0,158443.11,1556.0,2.0,0.0,11474.12,39727.31,76,782.0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.0,103313.62,365240.0,2.0,0.0,19757.49,38684.04,83,733.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,0.0,166240.97,8388.0,2.0,0.0,46478.66,42236.34,21,690.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,1.0,320697.51,598.0,3.0,0.0,51539.34,37524.26,38,711.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1.0,174928.8,465.0,3.0,1.0,39985.3,51543.74,34,730.0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,0.0,100687.47,365241.0,1.0,0.0,16707.05,16705.8,28,827.0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51,0.0,100091.58,5053.0,2.0,0.0,33039.56,28349.91,85,714.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,1.0,98549.42,1617.0,3.0,0.0,12440.99,26641.89,11,944.0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
